epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2826.97,0.61437,0.35507,0.97624,0.9621,0.96464,0.98953,0.87146,0.5927,0.3111,0.9122,0.00046676,0.00046676,0.00046676
74,2866.77,0.59847,0.35056,0.96437,0.96561,0.9652,0.9912,0.87394,0.58185,0.30982,0.9143,0.00045009,0.00045009,0.00045009
75,2906.79,0.60119,0.35068,0.96199,0.97039,0.96121,0.9905,0.87602,0.59206,0.30553,0.91881,0.00043342,0.00043342,0.00043342
76,2946.77,0.60478,0.34602,0.96944,0.96191,0.97049,0.99001,0.87986,0.60126,0.31086,0.91741,0.00041675,0.00041675,0.00041675
77,2987.15,0.59127,0.34272,0.96677,0.97769,0.96166,0.98947,0.87447,0.57787,0.30773,0.91828,0.00040008,0.00040008,0.00040008
78,3027.32,0.58991,0.35033,0.96074,0.96492,0.96108,0.99086,0.87319,0.59029,0.30482,0.92186,0.00038341,0.00038341,0.00038341
79,3067.82,0.58699,0.33692,0.96156,0.96888,0.95546,0.99048,0.88111,0.57392,0.30582,0.91272,0.00036674,0.00036674,0.00036674
80,3107.4,0.58748,0.34105,0.96128,0.97362,0.94746,0.99094,0.87342,0.59073,0.31133,0.92191,0.00035007,0.00035007,0.00035007
81,3146.88,0.597,0.34045,0.96782,0.96003,0.96783,0.99061,0.8817,0.5791,0.30148,0.91201,0.0003334,0.0003334,0.0003334
82,3186.56,0.57215,0.32732,0.96019,0.96137,0.96889,0.99001,0.87903,0.57761,0.30286,0.915,0.00031673,0.00031673,0.00031673
83,3226.02,0.57575,0.32629,0.95842,0.97459,0.95701,0.98884,0.878,0.5793,0.30187,0.91317,0.00030006,0.00030006,0.00030006
84,3265.49,0.56583,0.31929,0.95358,0.97084,0.96555,0.98967,0.87953,0.57905,0.30302,0.91075,0.00028339,0.00028339,0.00028339
85,3305.79,0.56127,0.31632,0.95174,0.97599,0.9761,0.99135,0.88239,0.57275,0.28747,0.91105,0.00026672,0.00026672,0.00026672
86,3346.02,0.57014,0.31889,0.95586,0.97964,0.96308,0.98846,0.87969,0.57527,0.29187,0.91107,0.00025005,0.00025005,0.00025005
87,3386.6,0.56571,0.32421,0.95192,0.97177,0.95883,0.98945,0.88587,0.57521,0.29811,0.90359,0.00023338,0.00023338,0.00023338
88,3427.35,0.55401,0.31236,0.9493,0.97183,0.96743,0.99071,0.88177,0.57806,0.28924,0.91332,0.00021671,0.00021671,0.00021671
89,3467.79,0.55047,0.31409,0.94575,0.96066,0.96057,0.99027,0.88252,0.58028,0.30205,0.91168,0.00020004,0.00020004,0.00020004
90,3508.07,0.45982,0.24446,0.90768,0.94881,0.97805,0.99125,0.87594,0.58294,0.29425,0.91329,0.00018337,0.00018337,0.00018337
91,3546.21,0.46001,0.24244,0.90383,0.94843,0.97088,0.99056,0.87963,0.57817,0.3044,0.90702,0.0001667,0.0001667,0.0001667
92,3583.95,0.45206,0.23239,0.90071,0.97442,0.96411,0.98993,0.87761,0.57609,0.2945,0.91234,0.00015003,0.00015003,0.00015003
93,3621.03,0.44448,0.22979,0.90272,0.95746,0.97688,0.98859,0.87776,0.58278,0.29354,0.91988,0.00013336,0.00013336,0.00013336
94,3657.74,0.44888,0.22602,0.90821,0.96848,0.9588,0.99016,0.88331,0.57206,0.29966,0.90848,0.00011669,0.00011669,0.00011669
95,3695.48,0.44452,0.23168,0.89144,0.96887,0.95429,0.99056,0.88502,0.56522,0.29058,0.9054,0.00010002,0.00010002,0.00010002
96,3733.16,0.44466,0.22866,0.89944,0.9676,0.9576,0.99072,0.88587,0.5673,0.2925,0.90456,8.335e-05,8.335e-05,8.335e-05
97,3770.51,0.43364,0.22465,0.89573,0.95627,0.96845,0.99088,0.88587,0.56609,0.29353,0.90442,6.668e-05,6.668e-05,6.668e-05
98,3806.75,0.43133,0.22055,0.89131,0.97065,0.95774,0.99024,0.88565,0.56771,0.28816,0.90536,5.001e-05,5.001e-05,5.001e-05
99,3844.27,0.43642,0.21629,0.88998,0.96505,0.96869,0.99116,0.88643,0.56446,0.28509,0.90471,3.334e-05,3.334e-05,3.334e-05
