epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3266.15,0.70474,0.44695,1.03097,0.9522,0.96648,0.98883,0.86923,0.59568,0.32813,0.93388,0.00030006,0.00030006,0.00030006
84,3305.64,0.7055,0.45511,1.03045,0.95364,0.96511,0.9869,0.86781,0.5966,0.31214,0.93673,0.00028339,0.00028339,0.00028339
85,3344.86,0.6902,0.45236,1.02625,0.96773,0.95416,0.98981,0.87126,0.5995,0.30952,0.93989,0.00026672,0.00026672,0.00026672
86,3384.11,0.68155,0.42603,1.01601,0.94688,0.96819,0.98703,0.86695,0.5949,0.32064,0.93215,0.00025005,0.00025005,0.00025005
87,3423.67,0.69773,0.44471,1.03401,0.96646,0.95784,0.98827,0.868,0.59438,0.3014,0.93799,0.00023338,0.00023338,0.00023338
88,3463.03,0.69479,0.44015,1.02559,0.97244,0.94915,0.98811,0.86801,0.59645,0.30319,0.9407,0.00021671,0.00021671,0.00021671
89,3502.28,0.70106,0.43839,1.02856,0.97029,0.95825,0.98841,0.87361,0.58664,0.29731,0.93574,0.00020004,0.00020004,0.00020004
90,3541.95,0.52258,0.28543,0.94375,0.9612,0.96647,0.98814,0.86892,0.59242,0.29543,0.93088,0.00018337,0.00018337,0.00018337
91,3580.89,0.5163,0.28004,0.93578,0.97678,0.95256,0.98837,0.87125,0.59201,0.30288,0.93036,0.0001667,0.0001667,0.0001667
92,3619.64,0.51104,0.27443,0.93551,0.96276,0.97005,0.98635,0.87281,0.5903,0.29529,0.92479,0.00015003,0.00015003,0.00015003
93,3658.39,0.49953,0.26321,0.93076,0.97365,0.96132,0.98674,0.86623,0.59625,0.29758,0.93192,0.00013336,0.00013336,0.00013336
94,3697.14,0.50074,0.26369,0.93672,0.96297,0.95853,0.98785,0.87333,0.58545,0.30261,0.92583,0.00011669,0.00011669,0.00011669
95,3735.93,0.50432,0.26518,0.92072,0.97253,0.95025,0.98852,0.87544,0.58078,0.30069,0.92031,0.00010002,0.00010002,0.00010002
96,3775.15,0.49721,0.25989,0.92826,0.95326,0.96864,0.98727,0.8762,0.5812,0.29292,0.92252,8.335e-05,8.335e-05,8.335e-05
97,3814.09,0.48602,0.25359,0.92234,0.97632,0.94085,0.98725,0.87715,0.57835,0.29274,0.92336,6.668e-05,6.668e-05,6.668e-05
98,3852.99,0.48615,0.25267,0.91683,0.96468,0.95083,0.98721,0.87388,0.57939,0.29659,0.92145,5.001e-05,5.001e-05,5.001e-05
99,3891.71,0.48258,0.24635,0.91203,0.95801,0.9663,0.98737,0.87708,0.57868,0.289,0.92313,3.334e-05,3.334e-05,3.334e-05
