epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1257.69,0.61743,0.36035,0.95788,0.94843,0.96464,0.98931,0.87777,0.59251,0.33232,0.95032,0.00026672,0.00026672,0.00026672
86,1272.46,0.61569,0.36281,0.95644,0.95774,0.95593,0.99019,0.88561,0.57938,0.33243,0.94468,0.00025005,0.00025005,0.00025005
87,1286.82,0.6178,0.36265,0.96361,0.94203,0.97836,0.99109,0.87913,0.57985,0.33267,0.93963,0.00023338,0.00023338,0.00023338
88,1301.58,0.61032,0.35557,0.95954,0.9588,0.95531,0.98846,0.87884,0.58074,0.33117,0.94538,0.00021671,0.00021671,0.00021671
89,1315.96,0.5976,0.35449,0.9611,0.96116,0.95851,0.98817,0.87975,0.57268,0.32414,0.94277,0.00020004,0.00020004,0.00020004
90,1331.6,0.51067,0.29031,0.90451,0.94276,0.96372,0.98917,0.87348,0.58518,0.33324,0.95339,0.00018337,0.00018337,0.00018337
91,1345.66,0.50313,0.28502,0.90017,0.94697,0.96392,0.98996,0.87133,0.58068,0.33014,0.95092,0.0001667,0.0001667,0.0001667
92,1360.15,0.49944,0.27673,0.90288,0.94292,0.9716,0.99018,0.87564,0.58593,0.32297,0.95085,0.00015003,0.00015003,0.00015003
93,1374.31,0.49305,0.27897,0.89652,0.941,0.96829,0.9892,0.87789,0.58479,0.32568,0.95061,0.00013336,0.00013336,0.00013336
94,1388.7,0.48713,0.27009,0.89139,0.93294,0.96908,0.98811,0.87523,0.57859,0.3233,0.94594,0.00011669,0.00011669,0.00011669
95,1403.19,0.47949,0.26951,0.89349,0.93087,0.97534,0.98854,0.87368,0.58062,0.32224,0.94859,0.00010002,0.00010002,0.00010002
96,1417.62,0.48106,0.2658,0.88934,0.92812,0.97836,0.98817,0.87557,0.57484,0.3149,0.94344,8.335e-05,8.335e-05,8.335e-05
97,1432.05,0.48755,0.26712,0.898,0.92201,0.98095,0.9884,0.87768,0.57099,0.31482,0.94469,6.668e-05,6.668e-05,6.668e-05
98,1446.1,0.47367,0.26266,0.8906,0.93973,0.97502,0.98911,0.87663,0.57107,0.31453,0.94277,5.001e-05,5.001e-05,5.001e-05
99,1460.59,0.47655,0.25888,0.88701,0.93631,0.96866,0.98865,0.878,0.57104,0.31195,0.94369,3.334e-05,3.334e-05,3.334e-05
